handle	kind	int_alias	ts_alias	new_path	old_path
famar	TE	TE-1	TE-20260427-180000	docs/thought-experiments/TE-famar-promise-stack-ordering.md	docs/thought-experiments/TE-20260427-180000-promise-stack-ordering.md
jovoj	TE	TE-2	TE-20260427-180100	docs/thought-experiments/TE-jovoj-trust-ledger-merge-after-partition.md	docs/thought-experiments/TE-20260427-180100-trust-ledger-merge-after-partition.md
pubum	TE	TE-3	TE-20260427-180200	docs/thought-experiments/TE-pubum-currency-exchange-rate-equilibration.md	docs/thought-experiments/TE-20260427-180200-currency-exchange-rate-equilibration.md
himug	TE	TE-4	TE-20260427-180300	docs/thought-experiments/TE-himug-sybil-under-double-auction.md	docs/thought-experiments/TE-20260427-180300-sybil-under-double-auction.md
jikaf	TE	TE-5	TE-20260427-180400	docs/thought-experiments/TE-jikaf-kernel-as-handler-vs-classical-kernel.md	docs/thought-experiments/TE-20260427-180400-kernel-as-handler-vs-classical-kernel.md
fijub	TE	TE-6	TE-20260427-180500	docs/thought-experiments/TE-fijub-capability-token-revocation-propagation.md	docs/thought-experiments/TE-20260427-180500-capability-token-revocation-propagation.md
kuhog	TE	TE-7	TE-20260427-180600	docs/thought-experiments/TE-kuhog-human-novice-onboarding-under-k4.md	docs/thought-experiments/TE-20260427-180600-human-novice-onboarding-under-k4.md
sigan	TE	TE-8	TE-20260427-180700	docs/thought-experiments/TE-sigan-generational-handoff.md	docs/thought-experiments/TE-20260427-180700-generational-handoff.md
morid	TE	TE-9	TE-20260427-180800	docs/thought-experiments/TE-morid-two-communities-two-pcids-same-intent.md	docs/thought-experiments/TE-20260427-180800-two-communities-two-pcids-same-intent.md
mokut	TE	TE-10	TE-20260427-180900	docs/thought-experiments/TE-mokut-slow-mover-survival.md	docs/thought-experiments/TE-20260427-180900-slow-mover-survival.md
rotim	TE	TE-11	TE-20260427-181000	docs/thought-experiments/TE-rotim-ostroms-principles-audit.md	docs/thought-experiments/TE-20260427-181000-ostroms-principles-audit.md
muvuv	TE	TE-12	TE-20260427-181100	docs/thought-experiments/TE-muvuv-promise-stack-as-zero-knowledge-envelope.md	docs/thought-experiments/TE-20260427-181100-promise-stack-as-zero-knowledge-envelope.md
robub	TE	TE-13	TE-20260427-181200	docs/thought-experiments/TE-robub-time-traveling-break-witness.md	docs/thought-experiments/TE-20260427-181200-time-traveling-break-witness.md
