run_group_id,sim_id,scenario_id,model_id,sim_path,scenario_path,result_dir,result_path_template,status
canary-20260519-031017,SIM-kovis-grid-envelope-enc-cbor-unknown-hard-reject-sig-mandatory-sig-pcid-payload,spec-requirement-sections-minimal-binding-spec,openai-gpt-5.3-codex-xhigh,simulations/SIM-kovis-grid-envelope-enc-cbor-unknown-hard-reject-sig-mandatory-sig-pcid-payload/,scenarios/spec-requirement-sections-minimal-binding-spec/spec-requirement-sections-minimal-binding-spec.md,results/SIM-kovis-grid-envelope-enc-cbor-unknown-hard-reject-sig-mandatory-sig-pcid-payload/spec-requirement-sections-minimal-binding-spec/openai-gpt-5.3-codex-xhigh/,results/SIM-kovis-grid-envelope-enc-cbor-unknown-hard-reject-sig-mandatory-sig-pcid-payload/spec-requirement-sections-minimal-binding-spec/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-jomag-cas-object-model,bgp-class-routing-app-route-leak,openai-gpt-5.3-codex-xhigh,simulations/SIM-jomag-cas-object-model/,scenarios/bgp-class-routing-app-route-leak/bgp-class-routing-app-route-leak.md,results/SIM-jomag-cas-object-model/bgp-class-routing-app-route-leak/openai-gpt-5.3-codex-xhigh/,results/SIM-jomag-cas-object-model/bgp-class-routing-app-route-leak/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes,udp-feed-v0-conformance-ns-3-two-node-path,openai-gpt-5.3-codex-xhigh,simulations/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/,scenarios/udp-feed-v0-conformance-ns-3-two-node-path/udp-feed-v0-conformance-ns-3-two-node-path.md,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/udp-feed-v0-conformance-ns-3-two-node-path/openai-gpt-5.3-codex-xhigh/,results/SIM-guhor-grid-envelope-enc-cbor-unknown-best-effort-sig-mandatory-opaque-bytes/udp-feed-v0-conformance-ns-3-two-node-path/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0,aviation-flight-planning,openai-gpt-5.3-codex-xhigh,simulations/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/,scenarios/aviation-flight-planning/aviation-flight-planning.md,results/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/aviation-flight-planning/openai-gpt-5.3-codex-xhigh/,results/SIM-gazan-grid-envelope-enc-cbor-unknown-hard-reject-sig-unsigned-v0/aviation-flight-planning/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-gojot-grid-envelope-enc-dag-cbor-unknown-opaque-sig-wrapper-pcid,group-session-freeze-promise-human-readable-merge-promise,openai-gpt-5.3-codex-xhigh,simulations/SIM-gojot-grid-envelope-enc-dag-cbor-unknown-opaque-sig-wrapper-pcid/,scenarios/group-session-freeze-promise-human-readable-merge-promise/group-session-freeze-promise-human-readable-merge-promise.md,results/SIM-gojot-grid-envelope-enc-dag-cbor-unknown-opaque-sig-wrapper-pcid/group-session-freeze-promise-human-readable-merge-promise/openai-gpt-5.3-codex-xhigh/,results/SIM-gojot-grid-envelope-enc-dag-cbor-unknown-opaque-sig-wrapper-pcid/group-session-freeze-promise-human-readable-merge-promise/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-vivus-grid-envelope-enc-cbor-unknown-best-effort-sig-wrapper-pcid,nuclear-nonproliferation,openai-gpt-5.3-codex-xhigh,simulations/SIM-vivus-grid-envelope-enc-cbor-unknown-best-effort-sig-wrapper-pcid/,scenarios/nuclear-nonproliferation/nuclear-nonproliferation.md,results/SIM-vivus-grid-envelope-enc-cbor-unknown-best-effort-sig-wrapper-pcid/nuclear-nonproliferation/openai-gpt-5.3-codex-xhigh/,results/SIM-vivus-grid-envelope-enc-cbor-unknown-best-effort-sig-wrapper-pcid/nuclear-nonproliferation/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-zarud-conditional-release-geofencing,conditional-release-geofencing-replay-outside-conditions,openai-gpt-5.3-codex-xhigh,simulations/SIM-zarud-conditional-release-geofencing/,scenarios/conditional-release-geofencing-replay-outside-conditions/conditional-release-geofencing-replay-outside-conditions.md,results/SIM-zarud-conditional-release-geofencing/conditional-release-geofencing-replay-outside-conditions/openai-gpt-5.3-codex-xhigh/,results/SIM-zarud-conditional-release-geofencing/conditional-release-geofencing-replay-outside-conditions/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-bohof-group-session-freeze-promise,cas-object-model-dag-cbor-interop,openai-gpt-5.3-codex-xhigh,simulations/SIM-bohof-group-session-freeze-promise/,scenarios/cas-object-model-dag-cbor-interop/cas-object-model-dag-cbor-interop.md,results/SIM-bohof-group-session-freeze-promise/cas-object-model-dag-cbor-interop/openai-gpt-5.3-codex-xhigh/,results/SIM-bohof-group-session-freeze-promise/cas-object-model-dag-cbor-interop/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-punaz-bgp-class-routing-app,climate-coordination,openai-gpt-5.3-codex-xhigh,simulations/SIM-punaz-bgp-class-routing-app/,scenarios/climate-coordination/climate-coordination.md,results/SIM-punaz-bgp-class-routing-app/climate-coordination/openai-gpt-5.3-codex-xhigh/,results/SIM-punaz-bgp-class-routing-app/climate-coordination/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
canary-20260519-031017,SIM-gasus-grid-envelope-enc-cbor-unknown-opaque-sig-unsigned-v0,cas-object-model-promisebase-adapter,openai-gpt-5.3-codex-xhigh,simulations/SIM-gasus-grid-envelope-enc-cbor-unknown-opaque-sig-unsigned-v0/,scenarios/cas-object-model-promisebase-adapter/cas-object-model-promisebase-adapter.md,results/SIM-gasus-grid-envelope-enc-cbor-unknown-opaque-sig-unsigned-v0/cas-object-model-promisebase-adapter/openai-gpt-5.3-codex-xhigh/,results/SIM-gasus-grid-envelope-enc-cbor-unknown-opaque-sig-unsigned-v0/cas-object-model-promisebase-adapter/openai-gpt-5.3-codex-xhigh/<YYYYMMDD-HHMMSS>.md,queued
